scenario_class,pathway,obs_layout,response_count,unique_scenarios,median_sd_eta,median_abs_lnM_T,median_abs_lnM_S,median_abs_lnM_response_time
finite no-flow boundary,Hantush-Jacob leaky,mixed4,76,59,0.7383221016982735,1.049272209173336,0.7943229127101132,0.37923690276359157
finite no-flow boundary,Hantush-Jacob leaky,near4,67,48,0.7053704684623453,0.2229071990271773,0.0777337660970962,0.202917020533356
finite no-flow boundary,Hantush-Jacob leaky,sparse3,62,50,0.6449768272494947,0.4762607993540025,0.22852871577022021,0.20486476994048874
finite no-flow boundary,Hantush-Jacob leaky,standard4,86,63,0.6093931315423353,0.25345627683913297,0.1209560445820545,0.17446154334441594
finite no-flow boundary,Lagging Darcy no-leakage,dense5,721,167,0.2336047794194177,0.0887608072893533,0.0938242017313047,0.1910682796817422
finite no-flow boundary,Lagging Darcy no-leakage,far4,526,167,0.3155015635505478,0.23307217973370165,0.0647759630962206,0.2210392462238579
finite no-flow boundary,Lagging Darcy no-leakage,mixed4,520,166,0.27248810859855943,0.12419071910018155,0.11559598944157355,0.2878248722178398
finite no-flow boundary,Lagging Darcy no-leakage,near4,632,167,0.26069255640108996,0.0706368863693109,0.10015508406294421,0.20869594994646085
finite no-flow boundary,Lagging Darcy no-leakage,sparse3,422,167,0.30853494416090954,0.1289825500594376,0.09226899624632814,0.2061822098711957
finite no-flow boundary,Lagging Darcy no-leakage,standard4,616,166,0.3472338634482517,0.13427316530672684,0.08009815447974665,0.2273160428471861
finite no-flow boundary,Lagging Darcy with leakage,dense5,669,167,0.2088518008802402,0.1264846607321289,0.1000623467471108,0.2167387927213685
finite no-flow boundary,Lagging Darcy with leakage,far4,429,159,0.3100017594873493,0.3311108499360857,0.0856210352871158,0.3012973400240801
finite no-flow boundary,Lagging Darcy with leakage,mixed4,469,166,0.216775308399695,0.1602462875071947,0.1282004826845388,0.3099027853035328
finite no-flow boundary,Lagging Darcy with leakage,near4,575,167,0.2373439324338891,0.1121060745919716,0.101196121152301,0.2610413533300945
finite no-flow boundary,Lagging Darcy with leakage,sparse3,354,166,0.28313020882980255,0.16891114329327633,0.0878290197288906,0.2214348731642065
