pathway,pathway_short,median_rmse_m,median_sd_eta,pooled_sd_eta,bic_preferred_wells,boundary_hit_count,T_geometric_cov,S_geometric_cov,log_T_variance,log_S_variance
Theis confined,Theis,0.005039206052369708,0.21461058533085278,0.24624771287493943,2,0,3.3979383356149637,0.8869733141100382,2.5294006887047398,0.5803824657599481
Hantush-Jacob leaky,Hantush leaky,0.005039221270779201,0.24383034485850247,0.293715718150169,0,0,3.695265739642947,0.8598182828156451,2.6847808158260915,0.5534755347997503
Lagging Darcy no-leakage,"Lagging
without leakage",0.004772019349032,0.06583316800721666,0.17416779015246725,5,0,1.8331270847232473,0.954948901026782,1.472553455136575,0.6481118450654139
Lagging Darcy with leakage,Lagging leaky,0.004740795019522701,0.06583800787887119,0.17391867251493798,0,0,4.774331253652994,10.212892162216464,3.1694434891742915,4.656843488175625
