case,scheme,n_wells,mean_weight_theis,mean_weight_hantush_leaky,mean_weight_lagging_no_leakage,mean_weight_lagging_leaky,best_pathway_counts,median_robust_capacity_factor,p95_robust_capacity_factor,mean_capacity_violation_probability,mean_capacity_regret_factor,median_early_response_factor,p95_early_response_factor,mean_early_response_probability,mean_early_response_regret_factor,median_diffusivity_spread_ratio,p95_diffusivity_spread_ratio
Massachusetts,strict_bic,12,0.1436856164812138,0.18222720686937025,0.2882167835874431,0.38587039306197285,2 / 2 / 3 / 5,1.0,1.00718580014386,0.023701638962389984,0.000292692055604949,1.4046218838901199,2.1339817407852686,0.034618774651112336,0.00047934685239116624,1.0390179617471735,1.3340888231537757
Massachusetts,variance_window,12,0.19388760300808314,0.22330067866347028,0.25897601798334147,0.32383570034510517,2 / 2 / 3 / 5,1.6048454863511825,2.7253754975089106,0.38053662172840025,0.2619830425618248,1.8537557817265378,3.319025202404622,0.4079754650560849,0.3231252184595061,1.8989205870079913,3.4107760488684877
Lovelock Valley,strict_bic,7,0.23299510281407196,0.03038309359842242,0.6460760682329333,0.09054573535457232,2 / 0 / 5 / 0,1.0,2.5807392306338146,0.041461051224595626,0.0936460886218384,3.1578777343959734,6.2969720806414085,0.0468443657086573,0.17490077683617972,1.1298178268986652,34.72302283876715
Lovelock Valley,variance_window,7,0.2509317599375267,0.15342259466279426,0.3375769993804913,0.2580686460191877,2 / 0 / 5 / 0,1.1842897283894662,4.515427425117614,0.21278413079113423,0.3410191168548953,4.045630214263451,8.788292889529512,0.2318228722475548,0.8103393053455873,3.909088133684171,38.62804800616284
