case,pathway,eta_q05,eta_q95,active_response_count,median_allowable_rate_overstatement,p95_allowable_rate_overstatement,max_deterministic_missed_exceedance_fraction,max_tu_aware_missed_exceedance_fraction,q95_deterministic_missed_exceedance_fraction,q95_tu_aware_missed_exceedance_fraction
Massachusetts,Theis confined,-0.23098876290778317,0.20389256654159243,416,1.2272668189527192,1.2432623572125645,0.2857142857142857,0.02857142857142857,0.2857142857142857,0.0
Massachusetts,Hantush-Jacob leaky,-0.23098818196990975,0.20389117132258494,416,1.2272685666454903,1.2432597704259924,0.38095238095238093,0.02857142857142857,0.38095238095238093,0.0
Massachusetts,Lagging Darcy no-leakage,-0.10499931629756895,0.10966553053817416,419,1.11643417251853,1.1261271080508286,0.23809523809523808,0.023809523809523808,0.23809523809523808,0.0
Massachusetts,Lagging Darcy with leakage,-0.058910647071913576,0.05073233689042993,420,1.052282265938314,1.0570298248552459,0.38095238095238093,0.0,0.38095238095238093,0.0
Lovelock Valley,Theis confined,-0.33516275581331195,0.3882130768181039,318,1.4995345222366292,1.8237284776704885,0.09615384615384616,0.0,0.07692307692307693,0.0
Lovelock Valley,Hantush-Jacob leaky,-0.32754435190431513,0.6482977164021672,316,1.9688358980639054,2.5647736537065735,0.08333333333333333,0.0,0.0,0.0
Lovelock Valley,Lagging Darcy no-leakage,-0.23910699033976537,0.25836186438750486,338,1.3098254358289436,1.519314082884025,0.02564102564102564,0.0,0.0,0.0
Lovelock Valley,Lagging Darcy with leakage,-0.24120423233331748,0.2671918316800281,338,1.321902706676678,1.539535744579395,0.02564102564102564,0.0,0.0,0.0
