decision_endpoint,threshold_basis,threshold_m,model,exceedance_probability,prediction_interval_width_m,mean_predicted_drawdown_m,model_factor_sd_log,model_factor_central_90_width_log
diagnostic drawdown exceedance,observed drawdown q0.75,0.9553877927152992,Darcy,0.23333333333333334,0.105151109843205,0.5315070253503923,0.19027593176319468,0.5284641991584453
diagnostic drawdown exceedance,observed drawdown q0.75,0.9553877927152992,Lagging Darcy,0.23809523809523808,0.046930447873078374,0.5404055420428878,0.062026000039014866,0.21466484683574272
