scenario_class,obs_layout,pathway,response_count,mu_lnM_T,sd_lnM_T,cov_M_T,median_M_T,mu_lnM_S,sd_lnM_S,cov_M_S,median_M_S,mu_lnM_capacity,sd_lnM_capacity,cov_M_capacity,median_M_capacity,mu_lnM_response_time,sd_lnM_response_time,cov_M_response_time,median_M_response_time,mean_response_model_factor_cov,median_sd_eta,boundary_hit_fraction
homogeneous confined,dense5,Theis confined,830,0.2325374449339483,0.7544292795765974,0.875664651256284,1.1869457515203585,-0.009755103500058163,0.4418350985020755,0.46430190851171543,1.012894918133777,0.2325374449339483,0.7544292795765974,0.875664651256284,1.1869457515203585,-0.24229254843400647,0.5373061663044811,0.5785226703033727,0.838948150436742,0.587119841867025,0.3810622174915338,0.01566265060240964
homogeneous confined,dense5,Hantush-Jacob leaky,830,-0.11608150651406166,1.403229478262023,2.4827180362598305,1.1218632002268307,-0.31885886076824416,1.2579047070775018,1.9662789924569675,0.9933429572977618,-0.11608150651406166,1.403229478262023,2.4827180362598305,1.1218632002268307,-0.2027773542541825,0.762371146707198,0.8878065248769709,0.8524555253224491,0.5919197707667568,0.3852908874209581,0.8662650602409638
homogeneous confined,dense5,Lagging Darcy no-leakage,830,-0.5075280925452571,1.5671856045504031,3.2647986593651215,0.9447477383549338,-0.09079774960806476,0.8229955179504447,0.984173773450701,1.0673905315622347,-0.5075280925452571,1.5671856045504031,3.2647986593651215,0.9447477383549338,0.41673034293719236,0.885267136996648,1.0906668023942012,1.1969041270073912,0.48875522557555007,0.3466015041669469,0.1216867469879518
homogeneous confined,dense5,Lagging Darcy with leakage,830,-1.4483405193181573,2.3856598364211177,17.184298608847698,0.8714801874262407,-0.7917522418512488,1.546005058518142,3.1487982946622326,1.0248138865026633,-1.4483405193181573,2.3856598364211177,17.184298608847698,0.8714801874262407,0.6565882774669084,1.1240819928011132,1.593108756356822,1.318441661322938,0.4856403953863282,0.34713272186953636,0.20722891566265061
homogeneous confined,sparse3,Theis confined,501,0.33352264492585976,0.8533913481886375,1.0351366546165472,1.2258026699031443,0.027673760003455585,0.4630995310791363,0.48907464581888693,1.023114059376,0.33352264492585976,0.8533913481886375,1.0351366546165472,1.2258026699031443,-0.30584888492240425,0.5725311824046164,0.6228163423617569,0.8270811976227141,0.5608907074129436,0.3729160038940636,0.023952095808383235
homogeneous confined,sparse3,Hantush-Jacob leaky,501,-0.012398845001018103,1.5789177158320116,3.3312589637576893,1.1798632709459649,-0.3504780548365278,1.3823132129393503,2.3996717735996795,1.0052080230997,-0.012398845001018103,1.5789177158320116,3.3312589637576893,1.1798632709459649,-0.33807920983550976,1.0429866654573379,1.4027832092847083,0.835547219321669,0.5618947949190098,0.3720641033633109,0.8822355289421158
homogeneous confined,sparse3,Lagging Darcy no-leakage,501,-0.6589743171277245,1.7815651896352005,4.785634345336734,0.9505514754664921,-0.2048396674627312,0.9475167389447819,1.2058890536822187,1.0434204750017,-0.6589743171277245,1.7815651896352005,4.785634345336734,0.9505514754664921,0.45413464966499323,0.9693878722576703,1.2486978886874467,1.1292794883567092,0.48488201052076824,0.3551684817184511,0.13572854291417166
homogeneous confined,sparse3,Lagging Darcy with leakage,501,-1.700465307863738,2.5515262264503717,25.904027564309914,0.8550022209594359,-1.0163732609487,1.6572065962589286,3.8190818724658975,0.9949014457992998,-1.700465307863738,2.5515262264503717,25.904027564309914,0.8550022209594359,0.6840920469150381,1.2177014952351621,1.8453318530057579,1.238577478548717,0.48222326399987536,0.3544024987349755,0.2634730538922156
homogeneous confined,far4,Theis confined,664,0.3839195216984396,1.240532225085791,1.9129966470685436,1.2500242879065115,0.005573795684625258,0.6813502892213705,0.7686363774615774,1.0348252782972962,0.3839195216984396,1.240532225085791,1.9129966470685436,1.2500242879065115,-0.3783457260138144,0.8374827149749884,1.0082302096643556,0.8286192998688224,0.6375584369970392,0.3681812025156206,0.05120481927710843
homogeneous confined,far4,Hantush-Jacob leaky,664,-0.0945085576205654,1.921761637786783,6.258746029152087,1.2122978756314686,-0.5700038017223868,1.7846558973648077,4.813232591223764,1.022391836686278,-0.0945085576205654,1.921761637786783,6.258746029152087,1.2122978756314686,-0.47549524410182153,1.5017388635868014,2.921880837387997,0.8330001521689245,0.6195791959232855,0.36818256370400904,0.8539156626506024
homogeneous confined,far4,Lagging Darcy no-leakage,664,-0.8095278125989772,2.1173565847891513,9.355072374692238,0.9536285425043606,-0.27274868508492534,1.1598318759389767,1.6849310280651113,1.0317901192893364,-0.8095278125989772,2.1173565847891513,9.355072374692238,0.9536285425043606,0.5367791275140518,1.110794166643869,1.560279988871684,1.1016759368796205,0.5595754193707727,0.37466217775850646,0.21234939759036145
homogeneous confined,far4,Lagging Darcy with leakage,664,-1.9908249188789011,2.798327633462985,50.155092097233236,0.701605228670553,-1.2413947134350323,1.8480985062416837,5.425052128127258,0.9301208182335536,-1.9908249188789011,2.798327633462985,50.155092097233236,0.701605228670553,0.7494302054438687,1.421143313598075,2.556496490309546,1.3374735538805902,0.55775716722605,0.3750734495185949,0.32228915662650603
homogeneous confined,standard4,Theis confined,668,0.2343772092091377,0.44861760192366035,0.4721651695587361,1.185107509980075,0.01228257098206624,0.1309912403401551,0.1315551642107008,1.017611829676869,0.2343772092091377,0.44861760192366035,0.4721651695587361,1.185107509980075,-0.2220946382270715,0.47688561443177435,0.5053284754968774,0.8569234550480878,0.5024701279942304,0.32415213589804814,0.005988023952095809
homogeneous confined,standard4,Hantush-Jacob leaky,668,0.10097843861952567,0.8740172600931967,1.0708151228324418,1.1664744102450366,-0.08967606957485343,0.5804110791632685,0.6329034780933089,1.008529874309498,0.10097843861952567,0.8740172600931967,1.0708151228324418,1.1664744102450366,-0.1906545081943791,0.501823466498452,0.5351384935233083,0.8644716192764601,0.5046242697531271,0.3287413958733377,0.8667664670658682
homogeneous confined,standard4,Lagging Darcy no-leakage,668,-0.5932285219490522,1.5384552827024842,3.1086478632331818,0.9694575831394597,-0.15756120149477026,0.7858360551382203,0.9243146417152722,1.0481044176847707,-0.5932285219490522,1.5384552827024842,3.1086478632331818,0.9694575831394597,0.43566732045428186,0.822257542757152,0.9829594507424689,1.1174441260720145,0.4342992579915916,0.30770499533093354,0.07634730538922156
homogeneous confined,standard4,Lagging Darcy with leakage,668,-1.5550449407046012,2.4500172027885276,20.0866303897134,0.9237347040676186,-0.8554523159398439,1.526793259032936,3.0478237103575463,1.0144889665315064,-1.5550449407046012,2.4500172027885276,20.0866303897134,0.9237347040676186,0.6995926247647574,1.0057499739987819,1.3228050790912622,1.1653867021379587,0.43192285536617536,0.30770566872080835,0.19461077844311378
homogeneous confined,near4,Theis confined,668,0.18465877576981168,0.2273603023191907,0.23033040903287694,1.1615424687560902,-0.017819918654084024,0.10688835949954173,0.10719439056003026,1.0035897892147494,0.18465877576981168,0.2273603023191907,0.23033040903287694,1.1615424687560902,-0.20247869442389574,0.2897946995239038,0.2959868140874619,0.8570698528444355,0.4398130225243918,0.300726069523118,0.0
homogeneous confined,near4,Hantush-Jacob leaky,668,0.11599793139824269,0.36115230760907113,0.37325502266870936,1.1065241994178727,-0.05249434887326733,0.22545920146785958,0.228354902883434,0.9896980528716476,0.11599793139824269,0.36115230760907113,0.37325502266870936,1.1065241994178727,-0.16849228027151003,0.2914008289925174,0.2976977048393699,0.8719716361800532,0.45301977424335366,0.32399479362722083,0.9191616766467066
homogeneous confined,near4,Lagging Darcy no-leakage,668,-0.1112856944098495,0.2677093718964819,0.2725783343919687,0.9530316661412429,0.11183215869008219,0.11650249656586112,0.11689893386774054,1.0980987179350952,-0.1112856944098495,0.2677093718964819,0.2725783343919687,0.9530316661412429,0.2231178530999316,0.3268666563924889,0.33579489947707075,1.172000714441052,0.3424827727585894,0.24762670011776106,0.0344311377245509
homogeneous confined,near4,Lagging Darcy with leakage,668,-0.828135541125394,1.7950393471170338,4.907381817850269,0.91534806938936,-0.3713826246294617,1.1569723490122432,1.677391857247157,1.0383719031893952,-0.828135541125394,1.7950393471170338,4.907381817850269,0.91534806938936,0.4567529164959323,0.700411211497988,0.7957741417989268,1.2190022735031714,0.339437451871885,0.2467890456801255,0.09730538922155689
homogeneous confined,mixed4,Theis confined,668,0.4511684513680708,1.2385960338562687,1.9071558894074179,1.2507355880593773,0.03210015997866535,0.6841677341646738,0.772614985806143,1.0317150627812324,0.4511684513680708,1.2385960338562687,1.9071558894074179,1.2507355880593773,-0.41906829138940555,0.8216349603652502,0.9819358316958127,0.8056959757400423,0.5763143972194508,0.3618507567150655,0.06437125748502993
homogeneous confined,mixed4,Hantush-Jacob leaky,668,0.02524005418136855,1.9093570683662324,6.107982545555091,1.168791588979504,-0.5468633495166262,1.7175785877528604,4.255280220497775,0.9969225955664414,0.02524005418136855,1.9093570683662324,6.107982545555091,1.168791588979504,-0.5721034036979947,1.6172508574618656,3.560064084917616,0.8209076508637055,0.5783153175952979,0.3713920175535159,0.8817365269461078
homogeneous confined,mixed4,Lagging Darcy no-leakage,668,-0.6489317097503143,1.9605922522923513,6.7607917215576085,0.9375541234113147,-0.16670821602940705,1.1234129520732121,1.59143945689674,1.0615335780550041,-0.6489317097503143,1.9605922522923513,6.7607917215576085,0.9375541234113147,0.48222349372090717,1.0182671378456147,1.349210757144409,1.2539251157749531,0.48315634590372586,0.3526197972275378,0.19461077844311378
homogeneous confined,mixed4,Lagging Darcy with leakage,668,-1.5924357194448215,2.5593598893190617,26.428584833084766,0.8622168988687519,-0.9510758838721386,1.7855049295344305,4.820847882427356,1.0290555271995647,-1.5924357194448215,2.5593598893190617,26.428584833084766,0.8622168988687519,0.6413598355726831,1.29567520247545,2.087817775692922,1.368744679831543,0.47961244317922447,0.35083728082481463,0.27844311377245506
vertical leakage,sparse3,Theis confined,501,1.2908452296512876,1.6362395751929375,3.680417772715177,2.3353919814579998,0.6979410469791255,1.2678020157205543,1.997356097068234,1.480384470374,1.2908452296512876,1.6362395751929375,3.680417772715177,2.3353919814579998,-0.5929041826721619,0.9959959237507324,1.302552715695625,0.6741483672149702,0.6204832530590346,0.3708315179779536,0.17165668662674652
vertical leakage,sparse3,Hantush-Jacob leaky,501,0.21775571318112807,2.3071745530709875,14.28317577566013,1.4982067211473262,-0.5670163931007801,2.26984445084019,13.107638655314929,1.1077028390630999,0.21775571318112807,2.3071745530709875,14.28317577566013,1.4982067211473262,-0.7847721062819083,1.854360210842089,5.490440781842134,0.7384413355927315,0.5729542731588567,0.3631537022365536,0.564870259481038
vertical leakage,sparse3,Lagging Darcy no-leakage,501,0.7303285300052565,2.2205756848959277,11.726547573091004,1.734711803239979,0.6877461218351778,1.4958657731316438,2.8932592986838777,1.3749076637823001,0.7303285300052565,2.2205756848959277,11.726547573091004,1.734711803239979,-0.04258240817007873,1.321200194482852,2.174664550110186,0.8993051787956045,0.5311161317885859,0.3639621450937459,0.32934131736526945
vertical leakage,sparse3,Lagging Darcy with leakage,501,-1.349918731772023,2.9105639242813215,69.10219391100115,0.9282851751130583,-1.0671132064745006,2.178355664886568,10.67870084669952,1.0291280368719,-1.349918731772023,2.9105639242813215,69.10219391100115,0.9282851751130583,0.2828055252975223,1.9970506842591622,7.2772450223577545,1.1556123788571788,0.5049660772613271,0.3543004154921676,0.24750499001996007
vertical leakage,dense5,Theis confined,835,0.9835669354703365,1.3776089493230512,2.3814374762842916,1.7553443464638077,0.5198757877932925,1.076524709584349,1.4786627897822546,1.242702646587,0.9835669354703365,1.3776089493230512,2.3814374762842916,1.7553443464638077,-0.4636911476770441,0.7755513934686082,0.9081946195220458,0.7138170732559452,0.5273658054353427,0.3451720185432849,0.11017964071856287
vertical leakage,dense5,Hantush-Jacob leaky,835,0.276190619550529,1.8518276401417602,5.4638791658544985,1.3939067324623247,-0.27774509863948094,1.7597217139348402,4.5959830456812485,1.0881170261341,0.276190619550529,1.8518276401417602,5.4638791658544985,1.3939067324623247,-0.55393571819001,1.3759483924658455,2.37503899560186,0.7714596452518019,0.4957774015355859,0.3354172867441069,0.5976047904191617
vertical leakage,dense5,Lagging Darcy no-leakage,835,0.629672386228753,1.7296943007003107,4.3499831176236725,1.4007065787099557,0.4629601261615418,1.3141763517997174,2.1503701624901024,1.2765814658237,0.629672386228753,1.7296943007003107,4.3499831176236725,1.4007065787099557,-0.16671226006721113,1.2360956227496889,1.8996415692859117,0.9646997539535873,0.43983302090687804,0.3142979212328176,0.20479041916167665
vertical leakage,dense5,Lagging Darcy with leakage,835,-1.2457782352760856,2.656835148639752,34.08837449843393,0.9107679818038614,-0.8605870734222544,1.9269085562742192,6.322625442561201,1.0719376163685002,-1.2457782352760856,2.656835148639752,34.08837449843393,0.9107679818038614,0.3851911618538312,1.5233734425863974,3.0302574372432978,1.213683067572348,0.40837652451611023,0.2960604399209127,0.20119760479041915
vertical leakage,mixed4,Theis confined,664,1.1633906925315534,1.7126285533920207,4.217310949307562,2.0274526012851917,0.6934552774986946,1.3640760232659253,2.329861970096877,1.3772100853639269,1.1633906925315534,1.7126285533920207,4.217310949307562,2.0274526012851917,-0.4699354150328585,0.9579692125312808,1.2261884855617076,0.7087805961750233,0.5754236915147889,0.33760165596353153,0.19126506024096385
vertical leakage,mixed4,Hantush-Jacob leaky,664,0.345146835134836,2.3222601364937736,14.79318324157118,1.4232425049502817,-0.5808849842122521,2.388686679231503,17.309335593709466,1.0940282035739732,0.345146835134836,2.3222601364937736,14.79318324157118,1.4232425049502817,-0.9260318193470882,2.141562298247053,9.85543516468416,0.7447633422486504,0.5390452539259182,0.3359220072611957,0.6219879518072289
vertical leakage,mixed4,Lagging Darcy no-leakage,664,0.847620327032014,2.041491197778785,7.972822193860078,1.6154239563433934,0.7426562098466133,1.5633791954293843,3.243579001606501,1.3986002525255454,0.847620327032014,2.041491197778785,7.972822193860078,1.6154239563433934,-0.1049641171854007,1.2706819884765854,2.0064998377657166,0.9635094287051059,0.4902978967132883,0.3078966265469324,0.3253012048192771
vertical leakage,mixed4,Lagging Darcy with leakage,664,-0.834907315393448,2.7332931031519667,41.89476180280239,0.9376943055968491,-0.8371916931875976,2.1708502795229343,10.504297312159201,1.0933544738808196,-0.834907315393448,2.7332931031519667,41.89476180280239,0.9376943055968491,-0.0022843777941497106,2.044797908077218,8.027716995756718,1.1753730568048857,0.46311605145027357,0.30360257533273205,0.2394578313253012
vertical leakage,far4,Theis confined,668,1.6216375931975877,1.7120532213872401,4.212924643415931,4.763262768685198,1.0604038184849907,1.4325167997439265,2.6046621558099075,2.224905023842793,1.6216375931975877,1.7120532213872401,4.212924643415931,4.763262768685198,-0.5612337747125972,0.9761245095938298,1.2621446864385784,0.6430344399472682,0.6347417469829458,0.4029128302810804,0.23652694610778444
