trend_model,excluded_well,rmse_darcy_m,rmse_lagging_m,mae_darcy_m,mae_lagging_m,rmse_ratio_darcy_over_lagging,preferred
log_distance,MW-13,0.09026725934097177,0.09296289510492083,0.07300672714742373,0.07593151023746861,0.971003100098091,Darcy
log_distance,MW-12,0.7513127563382215,0.7223864020017464,0.7210232411467087,0.6961707764522349,1.0400427724778867,Lagging Darcy
log_distance,MW-10,0.46301793135759856,0.4902117726485538,0.4523165669584354,0.48203942683345785,0.9445263398224194,Darcy
log_distance,MW-08,0.6715892804725709,0.5934161637830886,0.6480440596167963,0.5204021351863232,1.1317340535369322,Lagging Darcy
log_distance,MW-11,0.9862963360998822,0.9374351787023839,0.9580213508927755,0.9124399591378269,1.0521221717592601,Lagging Darcy
log_distance,MW-05,0.13476160899596387,0.16660520901812015,0.125224969221509,0.14824021650211655,0.8088679206981282,Darcy
log_distance,MW-06,0.12798647613520875,0.16735958527368436,0.1194308557152649,0.14753949196919017,0.7647394436710124,Darcy
log_distance,MW-07,0.3264863477700075,0.3944916991486614,0.3230680670655149,0.3851423311639553,0.8276127190371462,Darcy
log_distance,MW-03,0.08293678511576945,0.11038068819598516,0.07768884761207112,0.09736082562710277,0.7513704296580576,Darcy
log_distance,MW-04,0.08210949716223845,0.10253621726154717,0.07656250491655772,0.09100573863649786,0.8007853162048617,Darcy
log_distance,MW-02,0.03991569101290924,0.03245445942709998,0.03161888225673469,0.028793612875933183,1.2298985013929709,Lagging Darcy
log_distance,MW-01,0.054797290804854064,0.04217372833773043,0.045359064092679126,0.03652882627919656,1.2993228951927889,Lagging Darcy
xy,MW-13,1.6605674065034821,1.826570285052155,1.6344532785641719,1.7943593922469778,0.9091177164617386,Darcy
xy,MW-12,0.5227599521533739,0.5015351201472616,0.5080357761147242,0.4877742921006993,1.042319732264971,Lagging Darcy
xy,MW-10,1.6270663378282544,1.2314098439940457,1.5981025357322238,1.2106777121245356,1.32130366324741,Lagging Darcy
xy,MW-08,0.9208253404191886,0.7023798494974977,0.9140631947057186,0.6877212952201428,1.3110076279636624,Lagging Darcy
xy,MW-11,0.9601885170233925,0.8566072044683216,0.9305266589762881,0.832611907524051,1.120920431225373,Lagging Darcy
xy,MW-05,0.06588870228032111,0.09131422059939809,0.061855891013299545,0.08143159708063172,0.7215601452634577,Darcy
xy,MW-06,0.058457871567653086,0.08195416911582865,0.054030003915143836,0.06870283111355828,0.7132995453231008,Darcy
xy,MW-07,0.2789782484199346,0.3077582164068387,0.2750479394173351,0.29870968000731457,0.9064851352372715,Darcy
xy,MW-03,0.02656661126966179,0.034484153071139584,0.024319398707397858,0.027749576551078424,0.7704005725428666,Darcy
xy,MW-04,0.029405544851495206,0.04467421219596627,0.026062411255068443,0.041265359408385965,0.6582219004222373,Darcy
xy,MW-02,0.08997918335016328,0.08468336090745832,0.07527884930631022,0.07253794204493885,1.0625367532175798,Lagging Darcy
xy,MW-01,0.1077340819680064,0.11316620418833324,0.09347293087958995,0.09881249677662023,0.9519987238302471,Darcy
