parameter,model,median,mean,sd,log_sd,cov_lognormal,p05,p95
S,Darcy,0.00177122005547855,0.0021456012923751415,0.0025217108005812817,1.2432021527720016,1.9210825570616943,0.00018570819886315,0.005807621465046646
S,Lagging Darcy,0.00196080031678825,0.0022970435895996832,0.0024142685231542537,1.1792454344418077,1.737048993807449,0.00021899135738041,0.006040272639242115
T,Darcy,6.18480454179713e-05,5.290363460186024e-05,2.4711357450305857e-05,0.5601317606859241,0.607078460969999,2.0290873646888178e-05,8.12719216960453e-05
T,Lagging Darcy,3.4625541598583074e-05,3.213661880178454e-05,1.1858452842884417e-05,0.4368817554786037,0.4585813558028464,1.5242441728431733e-05,4.685489553627499e-05
tau_q,Lagging Darcy,0.14742267301039347,0.1646700570971887,0.07156620193876016,0.4817161848374259,0.5110610484155145,0.0714119529086882,0.2584052619509747
tau_s,Lagging Darcy,0.3148828342207137,0.325549573590855,0.034848498067852375,0.10384485331077242,0.10412544261689644,0.2868263473790352,0.38277918846453834
