model,bias_eta,sd_epsilon,median_sd_epsilon_early,median_sd_epsilon_middle,median_sd_epsilon_late
Darcy,0.010072153232326637,0.1902759317631947,0.23539251771316905,0.06584087482094271,0.03185404138051018
Lagging Darcy,0.0030965184970204447,0.0620260000390149,0.07011806827016406,0.027373370654099782,0.0354773404582093
