well,pathway,n_points,n_valid_points,rmse_m,mae_m,sd_eta,mean_eta,aic,bic,boundary_hit_flag,validity_note,S,T_m2s,B_m,tau_q_s,tau_s_s,fit_nfev,fit_data_score,bic_theis,bic_lagging,delta_bic_minus_theis,delta_bic_minus_lagging
MW-05,Lagging Darcy no-leakage,28,28,0.0035888123960707377,0.00253720228335669,0.0373482222196009,-0.007064195180507385,-307.2763006458927,-301.9474826051919,False,finite radius lagging Darcy limit without leakage,0.0029389732938816,4.155667695892961e-05,,459.0691613006662,1283.077146827861,,,-202.96142138926106,-301.9474826051919,-98.98606121593085,0.0
MW-05,Lagging Darcy with leakage,28,28,0.003681024216743328,0.0024423568620563535,0.02015400450711599,2.1638221578905684e-05,-303.85559776243963,-297.19457521156363,True,formal Lin and Yeh lagging leaky finite radius fit,0.002937836640546608,4.0313892657791304e-05,999999.9199135888,305.38391524497933,1070.6922740175448,7.0,0.010966978347120723,-202.96142138926106,-301.9474826051919,-94.23315382230257,4.752907393628277
MW-06,Theis confined,27,27,0.014299130907820453,0.01098944330582228,0.12786500823271757,0.0021088740644531127,-225.3680520389645,-222.77637830695585,False,infinite line source confined fit,0.0022773415967734614,6.698673365304115e-05,,,,,,-222.77637830695585,-277.2627368991091,0.0,54.48635859215324
MW-06,Hantush-Jacob leaky,27,27,0.014299132211853912,0.01098944435696206,0.12786500836484427,0.002108868277650954,-223.36804711434328,-219.4805365163303,True,conventional Hantush-Jacob leaky fit,0.0022773415780386,6.698673529602449e-05,999999.9510765184,,,8.0,,-222.77637830695585,-277.2627368991091,3.295841790625559,57.7822003827788
MW-06,Lagging Darcy no-leakage,27,27,0.004614133472588792,0.0037296061681880966,0.05226759129541405,-0.007631337841226108,-282.4460843631264,-277.2627368991091,False,finite radius lagging Darcy limit without leakage,0.0025810465535476,4.642246365376861e-05,,582.8233052711944,1138.662380079141,,,-222.77637830695585,-277.2627368991091,-54.48635859215324,0.0
MW-06,Lagging Darcy with leakage,27,27,0.00491897034214303,0.003677870976979924,0.03349004107723682,5.5667014226195824e-05,-276.9914267233429,-270.51224239332123,True,formal Lin and Yeh lagging leaky finite radius fit,0.002571566477015642,4.615389098278926e-05,999996.30829976,200.16401947464064,640.5085570318819,15.0,0.029161237803275005,-222.77637830695585,-277.2627368991091,-47.73586408636538,6.750494505787856
MW-07,Theis confined,35,35,0.00547901522994134,0.0026580693766898476,0.06119072236956008,4.862511322970791e-05,-360.47809277152714,-357.3673966485483,False,infinite line source confined fit,0.009240169350564794,3.345908841789134e-05,,,,,,-357.3673966485483,-340.70344920106936,0.0,-16.66394744747896
MW-07,Hantush-Jacob leaky,35,35,0.003736877475135866,0.0022518738356351576,0.05613382386261347,0.000534412926474438,-385.26534411823974,-380.5992999337715,False,conventional Hantush-Jacob leaky fit,0.0071141365808574,2.372217871643258e-05,16.079488614503813,,,24.0,,-357.3673966485483,-340.70344920106936,-23.231903285223154,-39.895850732702115
MW-07,Lagging Darcy no-leakage,35,35,0.006280191044822452,0.0026217504414383203,0.0653135196979559,-0.011196075478807096,-346.924841447027,-340.70344920106936,False,finite radius lagging Darcy limit without leakage,0.0090346672811388,3.067735512750697e-05,,887.9004126597315,1118.357617481449,,,-357.3673966485483,-340.70344920106936,16.66394744747896,0.0
MW-07,Lagging Darcy with leakage,35,35,0.003713496261699134,0.0020658359539984703,0.050912142525335616,0.0005482594950921202,-381.70470202737994,-373.92796171993285,False,formal Lin and Yeh lagging leaky finite radius fit,0.004906443962247062,1.1590416467777354e-05,9.997231810626834,447.71599379024576,1233.5024011153353,16.0,0.08814009331827156,-357.3673966485483,-340.70344920106936,-16.56056507138453,-33.22451251886349
