case,n_records,threshold_quantile,threshold_m,observed_exceedance_count,mean_no_tu_exceedance_probability,mean_tu_aware_exceedance_probability,mean_exceedance_probability_increase,median_no_tu_interval_width_m,median_tu_aware_interval_width_m,median_interval_width_ratio,median_allowable_pumping_overstatement,p95_allowable_pumping_overstatement,no_tu_false_safe_fraction,tu_aware_false_safe_fraction,no_tu_expected_false_safe_regret_m,tu_aware_expected_false_safe_regret_m
Massachusetts,420,0.9,1.6562435505849984,42,0.10701318409935194,0.10140467365002365,-0.005608510449328304,0.0013122520149987868,0.04208762074135403,12.470349015355202,1.1106502054778793,1.2313013788486324,0.07142857142857142,0.0,3.7040628537170812e-06,0.0
Lovelock Valley,520,0.9,1.0012127397600001,52,0.09807692307692308,0.10219468233866325,0.004117759261740157,0.0013868421006109754,0.030572197959408465,28.90983885718364,1.3208975446139846,1.707191059972362,0.019230769230769232,0.0,1.501040353846111e-05,0.0
