scenario_id,scenario_class,well,radius_m,pathway,truth_T_ref_m2_s,truth_S_ref,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,lnM_T,lnM_S,lnM_capacity,lnM_response_time,bias_eta,sd_eta,cov_response_model_factor,rmse_m,aic,bic,parameter_count,boundary_hit
mf6_homogeneous_00,homogeneous confined,R20E,20.0,Theis confined,5e-05,0.001,5.983426307696963e-05,0.000937510046598566,,,,0.17955545260220782,-0.06452780482318739,0.17955545260220782,-0.24408325742539513,0.034532558098954315,0.13030465743517808,0.13085973960117944,0.026313793538641758,-109.17108199226801,-106.50667297191761,2,False
mf6_homogeneous_00,homogeneous confined,R20E,20.0,Hantush-Jacob leaky,5e-05,0.001,5.803418648336266e-05,0.0009248279964386399,,,99999.99999999806,0.14900925360422237,-0.07814750855658369,0.14900925360422237,-0.22715676216080605,0.035978760901050476,0.13957760696492658,0.14026018374644997,0.03503251204506952,-103.42403487505773,-99.42742134453212,3,True
mf6_homogeneous_00,homogeneous confined,R20E,20.0,Lagging Darcy no-leakage,5e-05,0.001,5.144588694488968e-05,0.0010178683159907647,10.995711267353354,68.79075738694402,,0.02850751089421417,0.017710554152886547,0.02850751089421417,-0.010796956741327697,0.0009309633714601472,0.012089707691120393,0.012090149465615294,0.002819886984594669,-240.10908438827903,-234.78026634757822,4,False
mf6_homogeneous_00,homogeneous confined,R20E,20.0,Lagging Darcy with leakage,5e-05,0.001,5.1446303409146096e-05,0.001017860215849851,10.98255398185142,68.77052797064597,23051.801293324916,0.028515606051970937,0.01770259617539896,0.028515606051970937,-0.010813009876571992,0.0009295200106382966,0.012090179993140797,0.012090621819406806,0.0028216430428057767,-238.10744026689335,-231.44641771601732,5,False
mf6_homogeneous_00,homogeneous confined,R50E,50.0,Theis confined,5e-05,0.001,5.9353154612625185e-05,0.0010107743358118953,,,,0.17148226691295754,0.010716706233211132,0.17148226691295754,-0.16076556067974632,0.010176548570871748,0.05646938818110879,0.05651443538233934,0.00799452044007463,-157.0379622712763,-154.3735532509259,2,False
mf6_homogeneous_00,homogeneous confined,R50E,50.0,Hantush-Jacob leaky,5e-05,0.001,5.9292222475440936e-05,0.0010102325837614131,,,99999.99999956232,0.17045513641640306,0.010180585294473589,0.17045513641640306,-0.1602745511219293,0.010208860474517757,0.05672174042759701,0.056767394528660614,0.008123804987345676,-154.7906137398304,-150.79400020930478,3,True
mf6_homogeneous_00,homogeneous confined,R50E,50.0,Lagging Darcy no-leakage,5e-05,0.001,5.201022870567305e-05,0.0010314499977336499,417.2236497563637,649.5087994095011,,0.039417399687544485,0.030965577059633154,0.039417399687544485,-0.008451822627911375,0.0005410392464729568,0.005020969337016465,0.00502100098201006,0.000872284518262262,-289.15455592150704,-283.82573788080623,4,False
mf6_homogeneous_00,homogeneous confined,R50E,50.0,Lagging Darcy with leakage,5e-05,0.001,5.2009925673090625e-05,0.0010314517914855215,417.2973776896094,649.6036238239486,99724.9963842154,0.0394115732669967,0.030967316116607243,0.0394115732669967,-0.008444257150389557,0.0005413857250294033,0.005020954095544237,0.005020985740248559,0.0008720645262986194,-287.15429706328985,-280.49327451241385,5,False
mf6_homogeneous_00,homogeneous confined,R100E,100.0,Theis confined,5e-05,0.001,6.404492039626778e-05,0.0010675263194355816,,,,0.2475617129198032,0.06534412102568356,0.2475617129198032,-0.18221759189411973,0.006363308251413172,0.0369735602524536,0.03698619997435253,0.002643641370003877,-180.8340890372778,-178.1696800169274,2,False
mf6_homogeneous_00,homogeneous confined,R100E,100.0,Hantush-Jacob leaky,5e-05,0.001,6.404454466093381e-05,0.0010675226512786155,,,99999.99996921717,0.24755584615575976,0.06534068489188383,0.24755584615575976,-0.18221516126387577,0.006363432740805205,0.03697448899408022,0.0369871296686801,0.0026438213788482373,-178.83269165789693,-174.8360781273713,3,True
