case,model,n,mean_log_model_factor,median_log_model_factor,sd_log_model_factor,geometric_mean_model_factor,cov_equivalent,q05_log_model_factor,q95_log_model_factor,central_90_width_log
Primary fractured-bedrock case,Darcy,420,0.01007215323232663,0.01893875997859705,0.19027593176319468,1.010123048097804,0.19201122456492778,-0.27573532728376327,0.252728871874682,0.5284641991584453
Primary fractured-bedrock case,Lagging Darcy,420,0.0030965184970204417,0.006395086449009249,0.062026000039014866,1.0031013176627115,0.062085704871554244,-0.1049993162975691,0.10966553053817361,0.21466484683574272
Lovelock Valley field-scale case,Darcy,520,0.03870244776452912,0.0317762878779209,0.24711221084198934,1.0394611436430587,0.2509330879861398,-0.33385613058222335,0.38517751727918265,0.719033647861406
Lovelock Valley field-scale case,Lagging Darcy,520,0.0017209697104698595,0.0040814952306559,0.1741677893606842,1.0017224514287175,0.17549699428170898,-0.23910732643587337,0.2583617734504169,0.4974690998862903
