objective,trend_model,excluded_well,rmse_darcy_m,rmse_lagging_m,mae_darcy_m,mae_lagging_m,rmse_ratio_darcy_over_lagging,preferred
log_response_map,log_distance,MW-13,0.09026725934097514,0.09296289510492313,0.07300672714742644,0.07593151023747038,0.9710031000981032,Darcy
log_response_map,log_distance,MW-12,0.751312756338234,0.7223864020017521,0.7210232411467205,0.6961707764522401,1.0400427724778958,Lagging Darcy
log_response_map,log_distance,MW-10,0.46301793135752106,0.4902117726485255,0.45231656695835726,0.48203942683342954,0.9445263398223159,Darcy
log_response_map,log_distance,MW-08,0.6715892804727163,0.5934161637831286,0.6480440596169509,0.5204021351863506,1.131734053537101,Lagging Darcy
log_response_map,log_distance,MW-11,0.9862963360999002,0.9374351787024018,0.9580213508927935,0.9124399591378448,1.0521221717592593,Lagging Darcy
log_response_map,log_distance,MW-05,0.13476160899593637,0.16660520901810527,0.12522496922148393,0.14824021650210156,0.8088679206980353,Darcy
log_response_map,log_distance,MW-06,0.12798647613518263,0.1673595852736599,0.11943085571523993,0.14753949196917124,0.7647394436709681,Darcy
log_response_map,log_distance,MW-07,0.32648634776998314,0.3944916991486444,0.3230680670654903,0.38514233116393737,0.8276127190371201,Darcy
log_response_map,log_distance,MW-03,0.08293678511574422,0.11038068819598833,0.07768884761204849,0.09736082562710235,0.7513704296578074,Darcy
log_response_map,log_distance,MW-04,0.08210949716222105,0.102536217261539,0.0765625049165413,0.09100573863648921,0.8007853162047558,Darcy
log_response_map,log_distance,MW-02,0.039915691012918635,0.03245445942710397,0.03161888225674375,0.028793612875937374,1.2298985013931092,Lagging Darcy
log_response_map,log_distance,MW-01,0.05479729080486349,0.04217372833773596,0.04535906409268793,0.03652882627920169,1.299322895192842,Lagging Darcy
log_response_map,xy,MW-13,1.6605674065030427,1.826570285052003,1.634453278563726,1.794359392246816,0.9091177164615737,Darcy
log_response_map,xy,MW-12,0.5227599521534175,0.5015351201472783,0.5080357761147662,0.48777429210071693,1.0423197322650235,Lagging Darcy
log_response_map,xy,MW-10,1.62706633782793,1.2314098439939092,1.5981025357319034,1.2106777121243966,1.3213036632472932,Lagging Darcy
log_response_map,xy,MW-08,0.9208253404192435,0.7023798494975535,0.9140631947057738,0.6877212952202025,1.3110076279636362,Lagging Darcy
log_response_map,xy,MW-11,0.9601885170234238,0.8566072044683569,0.9305266589763196,0.8326119075240869,1.1209204312253636,Lagging Darcy
log_response_map,xy,MW-05,0.0658887022803054,0.09131422059939343,0.06185589101328483,0.08143159708062721,0.7215601452633226,Darcy
log_response_map,xy,MW-06,0.05845787156764215,0.08195416911580813,0.054030003915133316,0.06870283111354349,0.7132995453231459,Darcy
log_response_map,xy,MW-07,0.2789782484199184,0.30775821640682377,0.2750479394173192,0.2987096800073009,0.9064851352372627,Darcy
log_response_map,xy,MW-03,0.026566611269647895,0.03448415307113373,0.024319398707385528,0.027749576551073116,0.7704005725425945,Darcy
log_response_map,xy,MW-04,0.029405544851490148,0.04467421219596195,0.026062411255062225,0.041265359408381705,0.6582219004221876,Darcy
log_response_map,xy,MW-02,0.08997918335016067,0.08468336090745614,0.0752788493063079,0.07253794204493694,1.0625367532175762,Lagging Darcy
log_response_map,xy,MW-01,0.10773408196800381,0.11316620418833222,0.09347293087958779,0.09881249677661934,0.9519987238302328,Darcy
