scenario_id,scenario_class,obs_layout,duration_days,dx_m,domain_m,sigma_ln_k,sigma_ln_s,leakage_b_m,boundary_type,support_effective_radius_m,support_diffusion_radius_m,support_observation_max_radius_m,support_leakage_limit_m,support_boundary_limit_m,support_target_spread,fixed_radius_130m_T_ratio_to_effective,fixed_130m_reference_status
mega_vertical_leakage_00215,vertical leakage,dense5,1.0,5.0,605.0,0.0,0.0,138.69176058324038,none,100.0,98.5900603509301,200.0,138.69176058324038,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00216,vertical leakage,sparse3,5.0,10.0,605.0,0.0,0.0,99.18745982413022,none,100.0,220.45407685048622,200.0,99.18745982413022,292.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00217,vertical leakage,mixed4,10.0,10.0,605.0,0.0,0.0,74.10753544806643,none,100.0,311.76914536239815,200.0,74.10753544806643,292.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00218,vertical leakage,far4,2.0,10.0,605.0,0.0,0.0,108.61073259951128,none,108.61073259951128,139.42740046346714,200.0,108.61073259951128,292.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00219,vertical leakage,dense5,2.0,7.5,605.0,0.0,0.0,204.9278115502157,none,139.42740046346722,139.42740046346722,200.0,204.9278115502157,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00220,vertical leakage,mixed4,5.0,7.5,805.0,0.0,0.0,58.75873757720997,none,100.0,220.4540768504864,200.0,58.75873757720997,395.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00221,vertical leakage,standard4,10.0,10.0,805.0,0.0,0.0,157.3040921373177,none,157.3040921373177,311.7691453623984,100.0,157.3040921373177,392.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00222,vertical leakage,standard4,10.0,5.0,1005.0,0.0,0.0,199.25080272269577,none,199.25080272269577,311.7691453623987,100.0,199.25080272269577,497.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00223,vertical leakage,near4,2.0,7.5,805.0,0.0,0.0,62.35615644661697,none,62.35615644661697,139.42740046346722,50.0,62.35615644661697,395.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00224,vertical leakage,mixed4,5.0,10.0,1205.0,0.0,0.0,68.20388626698457,none,100.0,220.4540768504865,200.0,68.20388626698457,592.5,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00225,vertical leakage,near4,5.0,7.5,1205.0,0.0,0.0,100.0055205431133,none,100.0055205431133,220.4540768504865,50.0,100.0055205431133,595.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00226,vertical leakage,dense5,2.0,5.0,605.0,0.0,0.0,243.48819866883727,none,139.4274004634673,139.4274004634673,200.0,243.48819866883727,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00227,vertical leakage,dense5,10.0,5.0,805.0,0.0,0.0,33.58429534515629,none,100.0,311.76914536239855,200.0,33.58429534515629,397.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00228,vertical leakage,dense5,2.0,5.0,605.0,0.0,0.0,27.38419830895777,none,100.0,139.4274004634673,200.0,27.38419830895777,297.5,1.0,1.0000000000000027,sensitivity comparison only
mega_vertical_leakage_00229,vertical leakage,near4,2.0,7.5,805.0,0.0,0.0,37.81787200285542,none,37.81787200285542,139.42740046346722,50.0,37.81787200285542,395.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00230,vertical leakage,sparse3,2.0,7.5,605.0,0.0,0.0,247.8222368809382,none,139.42740046346722,139.42740046346722,200.0,247.8222368809382,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00231,vertical leakage,dense5,5.0,7.5,605.0,0.0,0.0,132.53476929004142,none,132.53476929004142,220.4540768504864,200.0,132.53476929004142,295.0,1.0,1.0000000000000044,sensitivity comparison only
mega_vertical_leakage_00232,vertical leakage,near4,1.0,10.0,805.0,0.0,0.0,33.19993391178905,none,33.19993391178905,98.59006035093006,50.0,33.19993391178905,392.5,1.0,1.0000000000000044,sensitivity comparison only
