dataset,outcome,factor,n,group_count,eta2_marginal,top_level,top_level_mean,bottom_level,bottom_level_mean
quality_gated,lnM_response_time,dx_m,88106,3,0.00011180923282449592,7.5,0.11753516002527324,10.0,0.0902126479823782
quality_gated,lnM_response_time,boundary_type,88106,4,9.601339219166462e-05,none,0.1081294651240576,constant_head_x,0.07564598698596108
quality_gated,lnM_response_time,corr_len_m_bin,88106,4,7.762357288134437e-05,long,0.1054530042155482,very_long,0.06846910985261619
quality_gated,lnM_response_time,sigma_ln_k_bin,88106,4,2.826733632569794e-05,moderate,0.10948231309366904,none,0.09603008572182002
quality_gated,lnM_response_time,leakage_present,88106,2,5.341328844018595e-08,False,0.10245069184602731,True,0.10194966016368423
quality_gated,sd_eta,noise_sd_m,88106,4,0.7406954980325554,0.01,0.8211789721160112,0.0,0.010069553166907608
quality_gated,sd_eta,pathway,88106,4,0.10778301096956704,Hantush-Jacob leaky,0.5878836831279146,Lagging Darcy with leakage,0.325496677794879
quality_gated,sd_eta,radius_bin,88106,4,0.0560024655971198,far,0.49550769634459974,near,0.3105014212907937
quality_gated,sd_eta,obs_layout,88106,6,0.008979849205963987,far4,0.4733554111378179,near4,0.38584587541420656
quality_gated,sd_eta,leakage_present,88106,2,0.0028547850436630986,False,0.44884916793727536,True,0.41344919243829736
quality_gated,sd_eta,scenario_class,88106,10,0.0024891436524014272,vertical leakage,0.45700434596939504,finite no-flow boundary,0.4130270016469909
quality_gated,sd_eta,time_count,88106,3,0.000540432738399503,20,0.4387027708608235,40,0.4200759939394381
quality_gated,sd_eta,anisotropy_bin,88106,4,0.0005036249055141821,moderate,0.4628584604511582,low_Ky,0.4238436115908813
quality_gated,sd_eta,sigma_ln_s_bin,88106,4,0.0004655959316877151,moderate,0.4466422336149647,high,0.40926444567892206
quality_gated,sd_eta,boundary_type,88106,4,0.00043227242542226186,constant_head_x,0.45049809262830226,none,0.4265306995376064
quality_gated,sd_eta,domain_m,88106,5,0.00038230883013788344,1005.0,0.4403262462251993,405.0,0.41750867764681854
quality_gated,sd_eta,duration_days,88106,4,0.0003335638858274752,2.0,0.4355512657468407,10.0,0.422510254232943
quality_gated,sd_eta,sigma_ln_k_bin,88106,4,9.302005356900008e-05,low,0.4352429460997934,none,0.42650311979719635
quality_gated,sd_eta,support_spread_bin,88106,4,8.845729805387913e-05,low,0.434057793644503,high,0.42532757912273833
quality_gated,sd_eta,dx_m,88106,3,7.799337998493625e-05,10.0,0.43225224689377895,7.5,0.42521726646304325
quality_gated,sd_eta,corr_len_m_bin,88106,4,3.2678527132169635e-05,very_long,0.43166586396809664,moderate,0.4256089318137914
quality_gated,sd_eta,boundary_present,88106,2,1.1180719120943106e-05,False,0.42997716741494874,True,0.4277327347702337
