parameter,model,between_well_log_variance,mean_within_well_log_variance,total_apparent_log_variance,within_fraction
S,Lagging Darcy MAP local,1.3906197946518477,0.008584179366609155,1.3992039740184568,0.00613504501559965
T,Lagging Darcy MAP local,0.19086566827006646,0.010797056760156383,0.20166272503022284,0.05354017088948018
tau_q,Lagging Darcy MAP local,0.23205048273432508,0.08658924811894057,0.31863973085326563,0.27174655177830015
tau_s,Lagging Darcy MAP local,0.010783753559135833,0.07118132300105162,0.08196507656018745,0.8684347772039565
