case,well,pathway,strict_bic_weight,variance_window_weight,delta_bic,bic_window_scale
Massachusetts,MW-01,Theis confined,0.8552257706257106,0.38040458082775314,0.0,10.091950033354875
Massachusetts,MW-01,Hantush-Jacob leaky,0.14455954082522846,0.31896700004530965,3.555348046745735,10.091950033354875
Massachusetts,MW-01,Lagging Darcy no-leakage,0.0001893038624841896,0.16522801634166262,16.831534620457433,10.091950033354875
Massachusetts,MW-01,Lagging Darcy with leakage,2.538468657681934e-05,0.1354004027852746,20.849949341472666,10.091950033354875
Massachusetts,MW-02,Theis confined,3.740665916615705e-17,0.15104086521139024,74.88103802195644,43.82213288020032
Massachusetts,MW-02,Hantush-Jacob leaky,6.61539978799861e-18,0.14518616113119048,78.34593503959252,43.82213288020032
Massachusetts,MW-02,Lagging Darcy no-leakage,0.31898021594071563,0.3488413821563042,1.5169245506852462,43.82213288020032
Massachusetts,MW-02,Lagging Darcy with leakage,0.6810197840592844,0.3549315915011151,0.0,43.82213288020032
Massachusetts,MW-03,Theis confined,1.052355904033308e-12,0.15213825235892442,54.149229147881385,32.045400728104696
Massachusetts,MW-03,Hantush-Jacob leaky,1.8885236133895457e-13,0.14419748847603503,57.58487133796342,32.045400728104696
Massachusetts,MW-03,Lagging Darcy no-leakage,0.39672080114224106,0.34953121592549885,0.8382946886407012,32.045400728104696
Massachusetts,MW-03,Lagging Darcy with leakage,0.6032791988565177,0.35413304323954164,0.0,32.045400728104696
Massachusetts,MW-04,Theis confined,1.3138123116340282e-11,0.1526070503623904,49.810433863057966,28.75345417663136
Massachusetts,MW-04,Hantush-Jacob leaky,2.430625684306455e-12,0.14390915873630217,53.185172779006336,28.75345417663136
Massachusetts,MW-04,Lagging Darcy no-leakage,0.8604618328252909,0.3628649290823431,0.0,28.75345417663136
Massachusetts,MW-04,Lagging Darcy with leakage,0.13953816715914033,0.34061886181896434,3.6382621929456604,28.75345417663136
Massachusetts,MW-05,Theis confined,2.930067904644634e-22,0.1502802879106894,98.98606121593087,56.788877450132745
Massachusetts,MW-05,Hantush-Jacob leaky,5.538184871950257e-23,0.14593574090715067,102.31794898547079,56.788877450132745
Massachusetts,MW-05,Lagging Darcy no-leakage,0.9150140675103846,0.35925375282859734,0.0,56.788877450132745
Massachusetts,MW-05,Lagging Darcy with leakage,0.08498593248961539,0.3445302183535627,4.752907393628277,56.788877450132745
Massachusetts,MW-06,Theis confined,1.4250462929779963e-12,0.15236707414473666,54.48635859215324,30.614437535904358
Massachusetts,MW-06,Hantush-Jacob leaky,2.7424961166428015e-13,0.14438225685177172,57.7822003827788,30.614437535904358
Massachusetts,MW-06,Lagging Darcy no-leakage,0.966921930637169,0.37098910265910834,0.0,30.614437535904358
Massachusetts,MW-06,Lagging Darcy with leakage,0.03307806936113153,0.3322615663443833,6.750494505787856,30.614437535904358
Massachusetts,MW-07,Theis confined,8.710926452398523e-06,0.19483994125967866,23.231903285223154,17.869234924947246
Massachusetts,MW-07,Hantush-Jacob leaky,0.9656239911853362,0.37324368309475386,0.0,17.869234924947246
Massachusetts,MW-07,Lagging Darcy no-leakage,2.0966895727228665e-09,0.12222989045942259,39.895850732702115,17.869234924947246
Massachusetts,MW-07,Lagging Darcy with leakage,0.03436729579152176,0.3096864851861449,6.671338213838624,17.869234924947246
Massachusetts,MW-08,Theis confined,2.669889105563309e-23,0.1700168856722953,103.84283656430867,70.2042920634455
Massachusetts,MW-08,Hantush-Jacob leaky,0.945537321727814,0.3561934152547185,0.0,70.2042920634455
Massachusetts,MW-08,Lagging Darcy no-leakage,4.577233106850413e-31,0.13178731305427827,139.60608254746458,70.2042920634455
Massachusetts,MW-08,Lagging Darcy with leakage,0.05446267827218603,0.342002386018708,5.708475391172783,70.2042920634455
Massachusetts,MW-10,Theis confined,7.278987278775328e-46,0.1510808544002105,207.86784507050507,105.76815898063803
Massachusetts,MW-10,Hantush-Jacob leaky,1.0621347208934839e-46,0.14835643179502278,211.71726701423992,105.76815898063803
Massachusetts,MW-10,Lagging Darcy no-leakage,7.964960667985541e-15,0.29694301076118734,64.92744877933376,105.76815898063803
Massachusetts,MW-10,Lagging Darcy with leakage,0.999999999999992,0.4036197030435793,0.0,105.76815898063803
Massachusetts,MW-11,Theis confined,9.260674400035445e-25,0.15680453577633816,110.67770089808201,56.93337858517002
Massachusetts,MW-11,Hantush-Jacob leaky,4.2650239685142604e-10,0.2837331978123891,43.150806257540665,56.93337858517002
Massachusetts,MW-11,Lagging Darcy no-leakage,1.0731273253410427e-26,0.14499536380484082,119.59327059572806,56.93337858517002
Massachusetts,MW-11,Lagging Darcy with leakage,0.9999999995734976,0.414466902606432,0.0,56.93337858517002
Massachusetts,MW-12,Theis confined,0.8689929162067871,0.36448881270870487,0.0,18.61756255105987
Massachusetts,MW-12,Hantush-Jacob leaky,0.1310056282646682,0.3292661199322161,3.784189374881464,18.61756255105987
Massachusetts,MW-12,Lagging Darcy no-leakage,2.938185165528925e-09,0.12784598612523998,39.01010686284761,18.61756255105987
Massachusetts,MW-12,Lagging Darcy with leakage,1.4525903595531334e-06,0.17839908123383916,26.603483670138814,18.61756255105987
Massachusetts,MW-13,Theis confined,8.426824419814519e-24,0.1505820954638857,106.26061787109597,58.06447460013263
Massachusetts,MW-13,Hantush-Jacob leaky,1.5395601483712593e-24,0.14623748992478322,109.66046435800183,58.06447460013263
Massachusetts,MW-13,Lagging Darcy no-leakage,0.00031324609614942934,0.32720225260161423,16.13641626301967,58.06447460013263
