pathway,median_rmse_m,median_sd_eta,pooled_sd_eta,bic_preferred_wells,median_abs_delta_bic_minus_theis,boundary_hit_count
Theis confined,0.020823667098599077,0.1423781780275723,0.16616804136684768,2,0.0,0
Hantush-Jacob leaky,0.020824753378011887,0.14237815117576724,0.16379433138136565,2,3.5101225321909197,8
Lagging Darcy no-leakage,0.006593375421716348,0.053302193095838696,0.06202600003901563,3,51.560684161149325,0
Lagging Darcy with leakage,0.006395926632573482,0.03209712136831761,0.035228757085893576,5,64.51513358491891,8
