parameter,model,raw_log_variance,detrended_log_variance_log_distance,trend_fraction_log_distance,detrended_log_variance_xy,trend_fraction_xy
S,Darcy,1.5455515926569392,1.429065445856022,0.07536865631296552,1.089575786878928,0.29502464229883696
T,Darcy,0.31374758932911334,0.1513003997188953,0.5177639450794792,0.11807441435785507,0.623664313691354
S,Lagging Darcy,1.3906197946518477,1.3262788442332716,0.04626782292760645,1.0029022456268117,0.27880916877219053
T,Lagging Darcy,0.19086566827006646,0.09324680415815548,0.5114532382732373,0.03871815178007057,0.7971444936588277
