scenario_id,scenario_class,well,radius_m,pathway,truth_T_ref_m2_s,truth_S_ref,T_fit_m2_s,S_fit,tau_q_fit_s,tau_s_fit_s,leakage_B_fit_m,lnM_T,lnM_S,lnM_capacity,lnM_response_time,bias_eta,sd_eta,cov_response_model_factor,rmse_m,aic,bic,parameter_count,boundary_hit,ensemble_role,dx_m,domain_m,time_count,sigma_ln_k,corr_len_m,support_target_spread
strict_homogeneous_00,homogeneous confined,R20E,20.0,Theis confined,5e-05,0.001,5.983435036985436e-05,0.0009375107212140091,,,,0.1795569115124804,-0.06452708524135153,0.1795569115124804,-0.24408399675383205,0.03453250017471646,0.1303042046925664,0.1308592810590357,0.02631301113931352,-109.17126973194618,-106.50686071159578,2,False,ensemble,5.0,605.0,28,0.0,0.0,0.0
strict_homogeneous_00,homogeneous confined,R20E,20.0,Hantush-Jacob leaky,5e-05,0.001,5.8034273214488855e-05,0.0009248286478727066,,,99999.99999999806,0.14901074808646875,-0.07814680417280663,0.14901074808646875,-0.22715755225927545,0.03597869519886868,0.13957689977555898,0.14025946615390136,0.0350314820568999,-103.42430690937523,-99.42769337884963,3,True,ensemble,5.0,605.0,28,0.0,0.0,0.0
strict_homogeneous_00,homogeneous confined,R20E,20.0,Lagging Darcy no-leakage,5e-05,0.001,5.144658366890567e-05,0.0010178609289460347,10.980492813706869,68.76724445824414,,0.028521053654181856,0.01770329675876273,0.028521053654181856,-0.010817756895419287,0.0009293322347400242,0.012089263398347986,0.01208970512413058,0.0028206783906015694,-240.11172902238647,-234.78291098168566,4,False,ensemble,5.0,605.0,28,0.0,0.0,0.0
strict_homogeneous_00,homogeneous confined,R20E,20.0,Lagging Darcy with leakage,5e-05,0.001,5.1446490820366516e-05,0.0010178616615028285,10.978200564388441,68.76516496374028,99140.8735947613,0.028519248896386094,0.017704016460746787,0.028519248896386094,-0.010815232435639298,0.0009285870211262932,0.012089341692095384,0.012089783426464948,0.0028204353402591312,-238.11164196260896,-231.45061941173293,5,False,ensemble,5.0,605.0,28,0.0,0.0,0.0
strict_homogeneous_00,homogeneous confined,R50E,50.0,Theis confined,5e-05,0.001,5.935351191909073e-05,0.0010107777614530393,,,,0.1714882869028366,0.010720095353035175,0.1714882869028366,-0.16076819154980138,0.010176392774114477,0.05646762924789299,0.05651267223793986,0.007993314334874798,-157.0396777096808,-154.3752686893304,2,False,ensemble,5.0,605.0,28,0.0,0.0,0.0
strict_homogeneous_00,homogeneous confined,R50E,50.0,Hantush-Jacob leaky,5e-05,0.001,5.92925804212967e-05,0.0010102360090125735,,,99999.99999956037,0.17046117337640151,0.010183975845727626,0.17046117337640151,-0.16027719753067396,0.01020870297392111,0.056719937694426605,0.05676558744074123,0.008122576674657222,-154.79236379589798,-150.79575026537236,3,True,ensemble,5.0,605.0,28,0.0,0.0,0.0
strict_homogeneous_00,homogeneous confined,R50E,50.0,Lagging Darcy no-leakage,5e-05,0.001,5.201092497734365e-05,0.0010314521518362204,417.1743217321257,649.4397655444021,,0.039430786804413816,0.030967665479165036,0.039430786804413816,-0.00846312132524879,0.0005409115476147796,0.005018692431884105,0.005018724033840104,0.0008711228181473704,-289.17981154653734,-283.8509935058365,4,False,ensemble,5.0,605.0,28,0.0,0.0,0.0
strict_homogeneous_00,homogeneous confined,R50E,50.0,Lagging Darcy with leakage,5e-05,0.001,5.2010909743722295e-05,0.0010314514240410484,417.16482713490785,649.4279977274982,56389.73495844723,0.03943049391164943,0.030966959876459567,0.03943049391164943,-0.00846353403519,0.0005408439025357658,0.005018771955774519,0.0050188035592368604,0.0008711710709124375,-287.1790181187639,-280.5179955678879,5,False,ensemble,5.0,605.0,28,0.0,0.0,0.0
strict_homogeneous_00,homogeneous confined,R100E,100.0,Theis confined,5e-05,0.001,6.404842180475097e-05,0.001067562363784456,,,,0.24761638256029964,0.0653778848212216,0.24761638256029964,-0.18223849773907796,0.006362340378350438,0.03696259361877888,0.03697522209477444,0.002641112428115054,-180.85046026811605,-178.18605124776565,2,False,ensemble,5.0,605.0,28,0.0,0.0,0.0
strict_homogeneous_00,homogeneous confined,R100E,100.0,Hantush-Jacob leaky,5e-05,0.001,6.404804611250096e-05,0.0010675586958632996,,,99999.99996887043,0.24761051678966411,0.06537444902432402,0.24761051678966411,-0.18223606776534015,0.00636246482577936,0.03696352172566161,0.036976151153140804,0.0026412923706397614,-178.84906342545224,-174.85244989492662,3,True,ensemble,5.0,605.0,28,0.0,0.0,0.0
