case,well,pathway,T_m2s,S,distance_m,hydraulic_diffusivity_m2s,characteristic_response_time_h
Massachusetts,MW-01,Theis confined,5.586070765287927e-05,0.0012298981086903,28.53505435743645,0.04541897191171755,1.2449663606502397
Massachusetts,MW-01,Hantush-Jacob leaky,5.586070765659925e-05,0.0012298981080514,28.53505435743645,0.04541897193833615,1.2449663599206051
Massachusetts,MW-01,Lagging Darcy no-leakage,4.738342339267168e-05,0.001295648847483,28.53505435743645,0.036571192483767015,1.5461648451990002
Massachusetts,MW-01,Lagging Darcy with leakage,4.7300327406449504e-05,0.0012919348574318,28.53505435743645,0.0366120065066411,1.5444412246335002
Massachusetts,MW-02,Theis confined,6.265228934464142e-05,0.0012739874555567,26.68220604044817,0.04917810538194347,1.0053312479309486
Massachusetts,MW-02,Hantush-Jacob leaky,6.265201084224587e-05,0.0012739877985683,26.68220604044817,0.04917787353431,1.0053359875354484
Massachusetts,MW-02,Lagging Darcy no-leakage,3.905574957938114e-05,0.0013767656060996,26.68220604044817,0.028367755125744847,1.7428339265957613
Massachusetts,MW-02,Lagging Darcy with leakage,4.036773290306607e-05,0.0013494211634364,26.68220604044817,0.029914850898193027,1.6527004003050312
Massachusetts,MW-03,Theis confined,6.623275040910393e-05,0.0023348819409484,20.09827833430204,0.028366637836172996,0.9888885687161469
Massachusetts,MW-03,Hantush-Jacob leaky,6.623336903030995e-05,0.002334879982809,20.09827833430204,0.028366926573513748,0.9888785031542369
Massachusetts,MW-03,Lagging Darcy no-leakage,4.072568778870733e-05,0.0025448350274769,20.09827833430204,0.0160032722549741,1.7528567559289965
Massachusetts,MW-03,Lagging Darcy with leakage,4.235142699787101e-05,0.0025114997086408,20.09827833430204,0.01686300295085091,1.6634904216563002
Massachusetts,MW-04,Theis confined,6.49504592964171e-05,0.00241422584456,20.03325282529062,0.026903224254172672,1.0359436200594898
Massachusetts,MW-04,Hantush-Jacob leaky,6.495370208240056e-05,0.0024142244652576,20.03325282529062,0.026904582824476487,1.0358913091856206
Massachusetts,MW-04,Lagging Darcy no-leakage,3.413870430101295e-05,0.0025698799133907,20.03325282529062,0.013284163249468857,2.098003690691941
Massachusetts,MW-04,Lagging Darcy with leakage,3.4988265104127816e-05,0.0025300028854144,20.03325282529062,0.013829338024014521,2.0152970067506857
Massachusetts,MW-05,Theis confined,7.801302842783104e-05,0.00251285191273,17.354672008507535,0.03104561316670528,0.6737054901766798
Massachusetts,MW-05,Hantush-Jacob leaky,7.801279860241597e-05,0.0025128538876138,17.354672008507535,0.031045497307643593,0.6737080043862339
Massachusetts,MW-05,Lagging Darcy no-leakage,4.155667695892961e-05,0.0029389732938816,17.354672008507535,0.014139862055039063,1.4791940653237852
