objective,trend_model,excluded_well,rmse_darcy_m,rmse_lagging_m,mae_darcy_m,mae_lagging_m,rmse_ratio_darcy_over_lagging,preferred
log_response,log_distance,MW-13,0.0946704569731265,0.21719584856338323,0.07662138561892366,0.21433014854996466,0.43587599670672006,Darcy
log_response,log_distance,MW-12,0.7495869474119274,0.825618008822345,0.7191918610485136,0.7833688021992974,0.9079101223592885,Darcy
log_response,log_distance,MW-10,0.48398206140770417,0.46497727368360187,0.47317356473817207,0.3809728538982004,1.0408725088293977,Lagging Darcy
log_response,log_distance,MW-08,0.662467051921468,1.198723793102557,0.6376437792161415,1.1633439218652795,0.552643616263643,Darcy
log_response,log_distance,MW-11,0.9759694958177364,1.1702977981815783,0.9473978854515767,1.1202410293098901,0.8339496983880587,Darcy
log_response,log_distance,MW-05,0.1375854420231981,0.09328833122706126,0.12828778543026872,0.09144629319561605,1.4748408532286732,Lagging Darcy
log_response,log_distance,MW-06,0.13099700606312814,0.08169389311814045,0.12277007681657907,0.07791937632443487,1.603510385699072,Lagging Darcy
log_response,log_distance,MW-07,0.32824889869155616,0.22187527549443978,0.3249801331086661,0.21903979013547897,1.4794298191182735,Lagging Darcy
log_response,log_distance,MW-03,0.08278325697453566,0.1278200891210412,0.0776950788558911,0.12695157686132658,0.6476545083311809,Darcy
log_response,log_distance,MW-04,0.08219783542299164,0.11974249263044545,0.07676244744290173,0.11854801896494185,0.686455022083716,Darcy
log_response,log_distance,MW-02,0.04345501017413663,0.1798475640104465,0.035015432082906056,0.17712899990049658,0.24162134423801557,Darcy
log_response,log_distance,MW-01,0.059234029015848864,0.14655677771277925,0.04956808256206752,0.14141871434534156,0.4041712020438606,Darcy
log_response,xy,MW-13,1.6833540978197072,0.07973048726663558,1.6555356862955173,0.06201768564573415,21.113054184533148,Lagging Darcy
log_response,xy,MW-12,0.502630810563645,0.8863814730173913,0.4882558148993621,0.8332889297474417,0.567059246909353,Darcy
log_response,xy,MW-10,1.6849636638775591,0.23309767622901817,1.659053741195496,0.19423502660608744,7.228573408093887,Lagging Darcy
log_response,xy,MW-08,0.9193193056690777,0.9080262196326508,0.9125597563651564,0.8890070019692138,1.0124369602906351,Lagging Darcy
log_response,xy,MW-11,0.9566716232453878,0.9734451684144857,0.9266459755999659,0.9333012636400195,0.982768885486978,Darcy
log_response,xy,MW-05,0.06647560198498831,0.09270961876481588,0.0625398490850291,0.09244623570243608,0.7170302593264075,Darcy
log_response,xy,MW-06,0.06039138049378277,0.07598838071020377,0.05611681662077407,0.07387402830441438,0.7947449324403538,Darcy
log_response,xy,MW-07,0.2831147720022292,0.18445804723105505,0.27936278995480257,0.18243003708323396,1.5348464122445966,Lagging Darcy
log_response,xy,MW-03,0.027961475524042354,0.06593048486721717,0.025714271695841395,0.06423354021820547,0.424105413153813,Darcy
log_response,xy,MW-04,0.028657743180081408,0.08983002067490782,0.02509080065390228,0.088975943081002,0.3190218922891372,Darcy
log_response,xy,MW-02,0.0920752251518857,0.04494391560482868,0.07709896354989401,0.039323986720116166,2.0486694119279925,Lagging Darcy
log_response,xy,MW-01,0.10796579658792876,0.10679570739937765,0.09359321445268552,0.09208130819398652,1.0109563316451982,Lagging Darcy
