well,corr_logT_logtauq,corr_logS_logtaus,corr_logtauq_logtaus,max_abs_selected_corr
MW-13,-0.2428535820503828,0.11574957056235072,0.7778237540356506,0.7778237540356506
MW-12,0.09947683722423696,0.5562727516021669,0.774222576240661,0.774222576240661
MW-10,-0.33484929557656434,0.542087239586952,0.8383515498289983,0.8383515498289983
MW-08,0.19147227089085672,0.4232673236918627,0.42830364486492595,0.42830364486492595
MW-11,0.31830346249515634,0.37761634493603546,0.6654385353716734,0.6654385353716734
MW-05,-0.21200123288719827,0.6175332596459088,0.8347890024804684,0.8347890024804684
MW-06,-0.06609468485896701,0.5872649633110287,0.8379980515617199,0.8379980515617199
MW-07,0.24715777779575668,-0.263625539445791,0.7289176407892275,0.7289176407892275
MW-03,-0.25668765084334877,0.47342510215449746,0.8744130499557418,0.8744130499557418
MW-04,-0.264984188666568,0.22338519052053016,0.81230005265192,0.81230005265192
MW-02,-0.25746987791314696,0.4344218568643043,0.8793399856898511,0.8793399856898511
MW-01,0.0035978888303506403,0.39582115323784195,0.877935662027092,0.877935662027092
