scenario_id,scenario_class,ensemble_role,well,reference_solution,exactness,radius_m,bias_eta,sd_eta,rmse_m,max_abs_error_m,median_abs_error_m,pass_flag
strict_homogeneous_00,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,20.0,0.1037995555912488,0.2054778559583452,0.0060771705635568,0.01020075360942152,0.0031151608869975566,False
strict_homogeneous_00,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,50.0,0.04467123451201259,0.11595492050764888,0.004325093144523945,0.010642240246434342,0.0006855561949526735,False
strict_homogeneous_00,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,100.0,0.04350069766954554,0.10152580935334628,0.0017914525993200218,0.006385171245577664,6.21495170333665e-06,False
strict_homogeneous_00,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,100.0,0.04350069033597719,0.1015258151570994,0.0017914553498628446,0.006385181008823376,6.2149517033366495e-06,False
strict_homogeneous_01,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,20.615528128088304,0.06934338069115041,0.1627220523097261,0.006891371207272139,0.011566592614331017,0.0034082199103813576,False
strict_homogeneous_01,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,52.20153254455275,0.04045593894504773,0.10927402612467106,0.004268349396287043,0.01069324396129967,0.0005606463496111199,False
strict_homogeneous_01,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,99.62429422585637,0.042451602002557286,0.10004703049603865,0.0018203303471218597,0.006479436709064534,6.207846539191087e-06,False
strict_homogeneous_01,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,99.62429422585637,0.042451606732842255,0.10004703366045277,0.0018203332388732644,0.006479446877007133,6.20784609176867e-06,False
strict_homogeneous_02,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,18.027756377319946,0.031920091604396614,0.12924465447818823,0.009348180526132925,0.014428284568076322,0.00796599527445968,False
strict_homogeneous_02,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,47.16990566028302,0.03388499447052158,0.10184232553338247,0.004816766214967098,0.01139154058815739,0.00073937565931653,False
strict_homogeneous_02,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,101.24228365658294,0.04108967451358229,0.09768195288841632,0.0017837716080560326,0.006405829727935658,4.692471855554861e-06,False
strict_homogeneous_02,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,101.24228365658294,0.04108968859769122,0.09768195097633067,0.001783774441495385,0.006405840238349808,4.692466643717711e-06,False
strict_homogeneous_03,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,21.213203435596427,0.021660840549614934,0.10793755502738486,0.008689188941330245,0.01426145511996868,0.005605925230529572,False
strict_homogeneous_03,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,53.150729063673246,0.033209319804511764,0.09874532747427585,0.004387501113006185,0.011007429137457003,0.00044840558770878916,False
strict_homogeneous_03,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,99.24716620639605,0.04044128087191133,0.09714307176691901,0.0018651134891238567,0.006629489984085329,5.947381814233763e-06,False
strict_homogeneous_03,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,99.24716620639605,0.04044129866979341,0.09714306639775223,0.0018651157860525849,0.006629498828903707,5.947352408776333e-06,False
strict_homogeneous_04,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,22.360679774997898,0.038118035002643845,0.12368984672821662,0.007661272694880267,0.013028097898371671,0.003741772036658979,False
strict_homogeneous_04,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,49.24428900898052,0.03740654003514022,0.10599469630810268,0.004560875910399739,0.011060369892630317,0.0006307109439320224,False
strict_homogeneous_04,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,98.48857801796105,0.041675439852165715,0.0991365166997457,0.001873214114971237,0.006629892560710476,6.955473470163073e-06,False
strict_homogeneous_04,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,98.48857801796105,0.0416754534066977,0.09913651464324302,0.001873215420929334,0.006629898595878647,6.955458399726974e-06,False
strict_homogeneous_05,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,20.0,0.10379955538385777,0.20547785608198252,0.006077170809234541,0.010200756548560341,0.003115160886997573,False
strict_homogeneous_05,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,50.24937810560445,0.04406130172178096,0.1150133953623447,0.004321237367895254,0.010653881979891866,0.0006807375563693495,False
strict_homogeneous_05,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,100.4987562112089,0.04340452266448319,0.10127882851025961,0.0017752654908906275,0.006343531869565849,5.795838657720309e-06,False
strict_homogeneous_05,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,100.4987562112089,0.04340452623531293,0.10127882810215637,0.0017752657755686096,0.006343533548154673,5.795842969245705e-06,False
strict_homogeneous_06,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,20.615528128088304,0.06934339130411273,0.16272206005634562,0.006891371566852,0.011566595550035474,0.003408219904584793,False
strict_homogeneous_06,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,50.99019513592785,0.04247618232250384,0.11253022132498632,0.004305503795157047,0.010678793606143655,0.0006512308959073414,False
strict_homogeneous_06,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,101.9803902718557,0.043159322178907174,0.10060668754051073,0.0017272921053674412,0.006217844982843473,4.7132305854426725e-06,False
strict_homogeneous_06,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,101.9803902718557,0.04315931526291513,0.10060668808207994,0.001727291496603821,0.006217841650734912,4.713215948420151e-06,False
strict_homogeneous_07,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,18.027756377319946,0.03192010101925199,0.12924466129669016,0.009348180699469133,0.014428286765211462,0.00796599526748206,False
strict_homogeneous_07,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,51.478150704935004,0.03563860614945767,0.10272643296335751,0.00444279037933252,0.010996484457311051,0.0005512058046407992,False
strict_homogeneous_07,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,98.6154146165801,0.041028335127275786,0.09814948804030953,0.00187874921175391,0.006654808412318053,6.643200324113792e-06,False
strict_homogeneous_07,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,98.6154146165801,0.041028319221210884,0.09814949259160723,0.0018787475040454697,0.006654801185310366,6.643222506743443e-06,False
strict_homogeneous_08,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,21.213203435596427,0.021660869155326692,0.107937545274161,0.008689189107962878,0.014261457313339831,0.005605925207114254,False
strict_homogeneous_08,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,49.49747468305833,0.03211092930357325,0.09850040261430605,0.0046864274252407705,0.011328252617295143,0.0006269894674745534,False
strict_homogeneous_08,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,102.59142264341595,0.04076738860815186,0.09691938657926005,0.0017418253986298741,0.006298910960530313,3.85165217509885e-06,False
strict_homogeneous_08,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,102.59142264341595,0.04076736881850794,0.09691938375341513,0.0017418227850399504,0.006298901189489087,3.851657017606215e-06,False
strict_homogeneous_09,homogeneous confined,ensemble,R20E,Theis analytical,direct baseline,18.027756377319946,0.031920101019251974,0.12924466129669018,0.009348180699469156,0.014428286765211351,0.007965995267482068,False
strict_homogeneous_09,homogeneous confined,ensemble,R50E,Theis analytical,direct baseline,51.478150704935004,0.035638606149457776,0.1027264329633575,0.004442790379332475,0.010996484457310829,0.0005512058046408114,False
strict_homogeneous_09,homogeneous confined,ensemble,R100E,Theis analytical,direct baseline,98.6154146165801,0.04102833512727582,0.09814948804030957,0.0018787492117539005,0.006654808412317859,6.643200324113789e-06,False
strict_homogeneous_09,homogeneous confined,ensemble,R100N,Theis analytical,direct baseline,98.6154146165801,0.04102832230682031,0.09814949010366417,0.0018787463670911606,0.006654798001588774,6.643222506743442e-06,False
strict_leakage_00,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,20.0,0.10136604361953742,0.20326044499759,0.003852880204477166,0.007317501930718812,0.0022759500023626714,False
strict_leakage_00,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,50.0,0.032091292996786105,0.10441724989452925,0.0016399504222494499,0.004100273890461581,0.00040583128001321167,False
strict_leakage_00,vertical leakage,ensemble,R100E,Hantush-Jacob analytical,direct baseline,100.0,0.009148107634464083,0.0631906361134716,0.00037560235309694074,0.0010868536463647487,4.53345412510117e-06,True
strict_leakage_00,vertical leakage,ensemble,R100N,Hantush-Jacob analytical,direct baseline,100.0,0.009148106901876391,0.06319063643588532,0.00037560236167571845,0.0010868536495752795,4.53345412510117e-06,True
strict_leakage_01,vertical leakage,ensemble,R20E,Hantush-Jacob analytical,direct baseline,20.615528128088304,0.06506855429734495,0.16294355052732493,0.006084517725418503,0.010195259628476339,0.003707035846266353,False
strict_leakage_01,vertical leakage,ensemble,R50E,Hantush-Jacob analytical,direct baseline,52.20153254455275,0.03011692358981257,0.10271244499950463,0.0022772017053565735,0.005377891120453088,0.0004976611764373811,False
