objective,well,rmse_darcy_m,rmse_lagging_m,mae_darcy_m,mae_lagging_m,sd_epsilon_darcy,sd_epsilon_lagging,aic_darcy,aic_lagging,delta_aic_lagging_minus_darcy,bic_darcy,bic_lagging,delta_bic_lagging_minus_darcy
log_response_map,MW-13,0.02590191032351588,0.004781282826014686,0.016441690581527793,0.003268947190590025,0.274726260334411,0.04881375725622783,-215.2063133199141,-312.5827836904778,-97.37647037056371,-212.4039185565898,-306.9779941638292,-94.5740756072394
log_response_map,MW-12,0.03822520722535833,0.05190292331991815,0.03319209231286362,0.0438504250699649,0.05631565586741731,0.0527020324769545,-283.25488932641696,-252.33745446601733,30.917434860399624,-279.68651005858044,-245.2006959303443,34.48581412823614
log_response_map,MW-10,0.12987873102736064,0.021050652132018517,0.1022277651353494,0.015466318806502387,0.3345697244406739,0.053902353714729186,-187.86848560134786,-354.91743148388105,-167.0489458825332,-184.16819039792773,-347.5168410770408,-163.34865067911306
log_response_map,MW-08,0.12436602114378975,0.14949118128884029,0.10308255623112035,0.125384068259011,0.06613479181739407,0.08103901976473078,-175.26925990095316,-155.44453732961637,19.824722571336792,-171.74685966956602,-148.39973686684212,23.347122802723902
log_response_map,MW-11,0.11955364771299667,0.12486855847495111,0.09724101349764676,0.10169569527455258,0.08146889142067724,0.08349561975660319,-161.67122573416015,-154.27850291599054,7.392722818169602,-158.34410244190084,-147.62425633147197,10.719846110428875
log_response_map,MW-05,0.02489544597928168,0.0035888123960759804,0.019138017676146413,0.0025372022833571616,0.20550673612950965,0.03734822221960447,-202.8119415396527,-307.27630064581086,-104.46435910615816,-200.1475325193023,-301.94748260511005,-101.79995008580775
log_response_map,MW-06,0.014359851836904098,0.004614133472588139,0.011164515518668173,0.003729606168186846,0.13438449684187995,0.0522675912954154,-225.1392277916998,-282.446084363134,-57.306856571434196,-222.54755405969115,-277.2627368991167,-54.71518283942555
log_response_map,MW-07,0.004806847670574596,0.006280191044822525,0.0026130918125143745,0.0026217504414387987,0.06738017381864944,0.06531351969795476,-369.63996457592947,-346.9248414470262,22.715123128903258,-366.52926845295065,-340.70344920106857,25.82581925188208
log_response_map,MW-03,0.021785275783598235,0.006407296333771807,0.016733804441683712,0.0036847886926856203,0.2063297325599426,0.049099575473420844,-233.2442995298293,-305.11970892149884,-71.87540939166954,-230.376325120859,-299.38376010355825,-69.00743498269924
log_response_map,MW-04,0.02538119989227585,0.006779454509657434,0.01867261783321396,0.004807584101562673,0.311176513295396,0.08632860439949984,-209.0772993625717,-281.6438008920202,-72.56650152944849,-206.34270770259874,-276.1746175720743,-69.83190986947554
log_response_map,MW-02,0.0212805026316125,0.004569355566788991,0.01596012823061669,0.003089573523945858,0.19572543384426488,0.04692512303496519,-242.39769567238633,-336.85651826247295,-94.45882259008661,-239.4662238667869,-330.99357465127406,-91.52735078448717
log_response_map,MW-01,0.011648336419254649,0.013088761018579061,0.008695358950373626,0.008208630351896536,0.08546017992764549,0.05688840407787363,-307.6814334058138,-295.52009481689703,12.161338588916749,-304.57073728283495,-289.2987025709394,15.272034711895571
