scenario_class,pathway,n_scenarios,cov_M_T,cov_M_S,bias_factor_T,bias_factor_S,tail_relative_range_cov_M_T,tail_relative_range_cov_M_S,converged_flag
homogeneous confined,Theis confined,2,0.04309106475159112,0.05121951466029834,1.2293786596632814,1.0237789699974316,,,
homogeneous confined,Theis confined,3,0.04927829917412816,0.04504797398919556,1.2219461576613189,1.0288485215182939,,,
homogeneous confined,Theis confined,4,0.05141140308446387,0.04102095452557268,1.217571985959987,1.0319106748294404,,,
homogeneous confined,Theis confined,5,0.05140014045431787,0.03909937182936031,1.2161733089909255,1.0324682738290396,,,
homogeneous confined,Theis confined,6,0.049523263537979166,0.04222339658695015,1.2194210426425443,1.0303596606586327,,,
homogeneous confined,Theis confined,7,0.0490628165687894,0.042307292561320466,1.22050003331308,1.0301396449048625,,,
homogeneous confined,Theis confined,8,0.04977212159818543,0.0407504650694676,1.2188283375548588,1.0311567517843712,,,
homogeneous confined,Theis confined,9,0.051053727588992785,0.03959646343654741,1.217421207556917,1.0323948070906663,,,
homogeneous confined,Theis confined,10,0.05135702733092725,0.03853954669195774,1.2163942367540972,1.0329842765323651,0.030860542658149363,0.05736752420005034,True
homogeneous confined,Hantush-Jacob leaky,2,0.05208239994669525,0.056637284078742994,1.2204253184329648,1.0203626200936995,,,
homogeneous confined,Hantush-Jacob leaky,3,0.05900330530614979,0.05008665828945918,1.2126671905973838,1.02521949076703,,,
homogeneous confined,Hantush-Jacob leaky,4,0.060429057523510625,0.04568215264040034,1.208957434674442,1.028482149853708,,,
homogeneous confined,Hantush-Jacob leaky,5,0.059948845395491564,0.043519320802914256,1.2080265241724117,1.0292009961644477,,,
homogeneous confined,Hantush-Jacob leaky,6,0.05790105653540159,0.04681971869551338,1.2110169276659124,1.0270362115038048,,,
homogeneous confined,Hantush-Jacob leaky,7,0.057471728703276534,0.04690506205973685,1.2121166995583643,1.0268273216141661,,,
homogeneous confined,Hantush-Jacob leaky,8,0.058623598004354835,0.04533480976828512,1.2102688266329007,1.0277596487678142,,,
homogeneous confined,Hantush-Jacob leaky,9,0.05968359015686833,0.04405057888067162,1.2090644426409174,1.0290562143253474,,,
