scenario_class,reference_solution,dx_m,well_count,median_rmse_m,max_rmse_m,median_sd_eta,max_sd_eta,max_abs_error_m,pass_fraction
homogeneous confined,Theis analytical,2.5,4,0.002157938939007844,0.004879259214668653,0.07581658343565117,0.11756380560704999,0.008290022223764515,1.0
homogeneous confined,Theis analytical,5.0,4,0.0021222100213729306,0.003926225914460465,0.08330441042889483,0.18645269065597103,0.007445751830336855,1.0
homogeneous confined,Theis analytical,10.0,4,0.0019234913009426944,0.002698136157970186,0.1128677633283473,0.3105762712838769,0.006552993258079065,1.0
homogeneous confined,Theis analytical,20.0,4,0.0018772299651757538,0.004410980304133676,0.2169470848312017,0.3803874777250561,0.007636130970640642,0.75
vertical leakage,Hantush-Jacob analytical,2.5,4,0.001960056734823783,0.0040156446842768935,0.07286072521848622,0.11711516934553792,0.00692200981432628,1.0
vertical leakage,Hantush-Jacob analytical,5.0,4,0.0019276780968617484,0.003158755301523134,0.08027740449996398,0.1858863005857562,0.005792765543533945,1.0
vertical leakage,Hantush-Jacob analytical,10.0,4,0.0017841403287989991,0.0029335699041751614,0.10957396896441271,0.3096222233817348,0.0058531625377253385,1.0
vertical leakage,Hantush-Jacob analytical,20.0,4,0.0017493719343894053,0.004472940207819472,0.21307639306606452,0.38008411547211113,0.008022435685962503,0.75
