well,distance_mi,preferred_model,bic_theis_confined,aic_theis_confined,rmse_m_theis_confined,sd_eta_theis_confined,delta_bic_theis_confined_minus_theis,bic_hantush_jacob_leaky,aic_hantush_jacob_leaky,rmse_m_hantush_jacob_leaky,sd_eta_hantush_jacob_leaky,delta_bic_hantush_jacob_leaky_minus_theis,bic_lagging_darcy_no_leakage,aic_lagging_darcy_no_leakage,rmse_m_lagging_darcy_no_leakage,sd_eta_lagging_darcy_no_leakage,delta_bic_lagging_darcy_no_leakage_minus_theis,bic_lagging_darcy_with_leakage,aic_lagging_darcy_with_leakage,rmse_m_lagging_darcy_with_leakage,sd_eta_lagging_darcy_with_leakage,delta_bic_lagging_darcy_with_leakage_minus_theis
WWBN,0.6,Lagging Darcy no-leakage,-712.5287217709633,-718.7526973476764,0.049175702001943704,0.11175643028130437,0.0,-361.4722373353411,-370.80820070041074,0.13618891284597012,0.2914251893759235,351.0564844356222,-1176.8639330864355,-1189.3118842398617,0.018809568726412075,0.02720863673662454,-464.3352113154722,-1171.4526206616133,-1187.012559603396,0.018917386751479193,0.027219707737682203,-458.92389889065
LEID,1.0,Lagging Darcy no-leakage,-77.6144986141811,-81.39813921040235,0.13697171816296083,0.4002694378259251,0.0,-71.44693196820604,-77.12239286253792,0.1407654776107909,0.4115015343041743,6.167566645975057,-322.66250298422483,-330.22978417666735,0.016694759293771212,0.0320282521762881,-245.0480043700437,-318.75060483921874,-328.20970632977185,0.01669689388685912,0.03203484705860936,-241.13610622503762
MD,4.8,Lagging Darcy no-leakage,-102.54221618721085,-107.01042919640537,0.01422423375875314,0.44528924486186616,0.0,-98.18929256669345,-104.89161208048523,0.014197603454142959,0.44562417832569007,4.352923620517402,-124.41457724538002,-133.35100326376906,0.010987551475121949,0.3616693938256251,-21.87236105816916,-120.18006453690589,-131.35059705989218,0.010987610190088629,0.36167045370332995,-17.637848349695034
MOIR,5.0,Lagging Darcy no-leakage,-259.63537501639587,-263.4190156126171,0.0023073635164266243,0.06309291091297213,0.0,-255.71263046577496,-261.38809136010684,0.0023084954145973858,0.06311192270284578,3.922744550620905,-289.2206023056063,-296.7878834980488,0.002025996148132429,0.04497089476600679,-29.585227289210422,-286.1979230202428,-295.6570245107959,0.002090996302749842,0.04459680416087092,-26.562548003846928
FETH,5.7,Theis confined,-255.6209662271847,-259.40460682340597,0.002251883687490377,0.06738906630391585,0.0,-251.71155515476505,-257.3870160490969,0.0022525583934998985,0.06739917990044557,3.9094110724196582,-251.33375077379836,-258.90103196624085,0.002142287475510017,0.06583316800721666,4.287215453386352,-247.43552628636562,-256.89462777691875,0.002142660342216787,0.06583800787887119,8.185439940819094
WD,9.6,Lagging Darcy no-leakage,-186.6874218067606,-191.15563481595512,0.005039206052369708,0.24382088963202866,0.0,-182.44714798730666,-189.14946750109846,0.005039221270779201,0.24383034485850247,4.2402738194539324,-188.37161229085228,-197.3080383092413,0.004772019349032,0.22753717312364938,-1.6841904840916868,-184.94332948584304,-196.11386200882933,0.004740795019522701,0.2262126021715345,1.7440923209175594
WS,9.6,Theis confined,-204.30001954102963,-208.76823255022416,0.004033066034150858,0.21461058533085278,0.0,-200.0601436127456,-206.76246312653737,0.004033115169928827,0.2146181776517439,4.239875928284022,-202.9804809730054,-211.91690699139443,0.0038532589899377893,0.2046802231568216,1.3195385680242282,-198.80550335038853,-209.97603587337483,0.003851800628056609,0.20459290922559176,5.494516190641093
